"source_id","title","scope","source_type","official_page_url","collection_url","source_format","publisher","language","license_id","license_url","license_review_status","collection_method","collection_decision","official_verified","priority","product_models","use_cases","tasks","categories","notes"
"rpi-doc-boot-nvme","NVMe SSD boot","corpus","documentation","https://www.raspberrypi.com/documentation/computers/raspberry-pi.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/raspberry-pi/boot-nvme.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5","desktop_computing;home_server","system_configuration;server_operation","storage;nvme","Raspberry Pi 5 NVMe와 M.2 HAT+ 공식 근거다."
"rpi-doc-external-storage","External storage","corpus","documentation","https://www.raspberrypi.com/documentation/computers/configuration.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/configuration/external-storage.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","home_server","system_configuration;server_operation","storage;usb","외장 저장장치 연결과 마운트 공식 근거다."
"rpi-doc-keyboard-computers","Raspberry Pi keyboard computers","corpus","documentation","https://www.raspberrypi.com/documentation/computers/keyboard-computers.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/keyboard-computers/intro.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 500;Raspberry Pi 400","education_coding;desktop_computing","desktop_programming;os_installation","keyboard;product_comparison","Pi 400과 Pi 500 키보드형 컴퓨터 비교 근거다."
"rpi-doc-raspberry-pi-connect","Remote access with Raspberry Pi Connect","corpus","documentation","https://www.raspberrypi.com/documentation/computers/remote-access.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/remote-access/raspberry-pi-connect.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management","remote_access","remote_access;connect","Raspberry Pi Connect 공식 근거다."
"rpi-doc-interfaces","Remote access interfaces","corpus","documentation","https://www.raspberrypi.com/documentation/computers/configuration.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/configuration/interfaces.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management","remote_access;system_configuration","remote_access;interfaces","SSH와 Connect 활성화 공식 근거다."
"rpi-doc-camera-multicam","Use multiple cameras with rpicam-apps","corpus","documentation","https://www.raspberrypi.com/documentation/computers/camera_software.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/camera/rpicam_apps_multicam.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5","camera_monitoring;smart_farm_monitoring","camera_setup","camera;multicam","Raspberry Pi 5의 듀얼 MIPI 카메라 연결 공식 근거다."
"rpi-doc-frequency-management","Frequency management and cooling","corpus","documentation","https://www.raspberrypi.com/documentation/computers/configuration.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/raspberry-pi/frequency-management.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5;Raspberry Pi 4 Model B","desktop_computing;home_server;camera_monitoring;smart_farm_monitoring","system_configuration","cooling;thermal","Pi 5 냉각 옵션과 열 관리 주의사항의 공식 근거다."
"rpi-doc-getting-started-setting-up","Set up your Raspberry Pi","corpus","documentation","https://www.raspberrypi.com/documentation/computers/getting-started.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/getting-started/setting-up.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5;Raspberry Pi 4 Model B;Raspberry Pi 500;Raspberry Pi 400;Raspberry Pi Zero 2 W","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","os_installation;system_configuration","getting_started;accessories","초기 구성품과 모델별 설정 출발점의 공식 근거다."
"rpi-doc-config-raspi-config","Configure Raspberry Pi with raspi-config","corpus","documentation","https://www.raspberrypi.com/documentation/computers/configuration.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/configuration/raspi-config.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5;Raspberry Pi 4 Model B;Raspberry Pi 500;Raspberry Pi 400;Raspberry Pi Zero 2 W","education_coding;desktop_computing;home_server;headless_remote_management;gpio_iot","system_configuration","raspi_config;configuration","raspi-config TUI와 직접 CLI 설정의 공식 사용 범위다."
"rpi-doc-config-boot-behaviour","Configure boot behaviour","corpus","documentation","https://www.raspberrypi.com/documentation/computers/configuration.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/configuration/boot-behaviour.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5;Raspberry Pi 4 Model B;Raspberry Pi 500;Raspberry Pi 400;Raspberry Pi Zero 2 W","education_coding;desktop_computing;home_server;headless_remote_management;gpio_iot","system_configuration","boot;kernel","부팅 동작과 커널 명령행 설정의 공식 근거다."
"rpi-doc-camera-rpicam-options","rpicam common command options","corpus","documentation","https://www.raspberrypi.com/documentation/computers/camera_software.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/camera/rpicam_options_common.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5;Raspberry Pi 4 Model B;Raspberry Pi Zero 2 W","camera_monitoring;smart_farm_monitoring;education_coding","camera_setup","camera;rpicam","rpicam-apps 공통 옵션과 카메라 선택·출력 설정의 공식 근거다."
"rpi-doc-camera-streaming","Stream video with rpicam-apps","corpus","documentation","https://www.raspberrypi.com/documentation/computers/camera_software.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/camera/streaming.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5;Raspberry Pi 4 Model B;Raspberry Pi Zero 2 W","camera_monitoring;smart_farm_monitoring;home_server","camera_setup;remote_access","camera;streaming","rpicam-vid 기반 네트워크 영상 전송의 공식 근거다."
"rpi-doc-camera-rpicam-building","Build rpicam-apps","corpus","documentation","https://www.raspberrypi.com/documentation/computers/camera_software.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/camera/rpicam_apps_building.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5;Raspberry Pi 4 Model B;Raspberry Pi Zero 2 W","camera_monitoring;smart_farm_monitoring;education_coding","camera_setup;system_configuration","camera;rpicam;build","rpicam-apps 설치·빌드와 버전 확인 명령의 공식 근거다."
"rpi-doc-home","Raspberry Pi Documentation home","discovery","documentation","https://www.raspberrypi.com/documentation/","","html","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","reference_only","reference_only","true","1","","","","documentation_index","수집 대상 탐색용이다."
"rpi-product-pi-5","Raspberry Pi 5 product page","reference","product_page","https://www.raspberrypi.com/products/raspberry-pi-5/","","html","Raspberry Pi Ltd","en","UNDETERMINED","https://www.raspberrypi.com/terms-and-conditions/","blocked","reference_only","reference_only","true","2","Raspberry Pi 5","desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","","product_reference","URL·이미지 표시용 reference_only다."
"rpi-product-pi-4-model-b","Raspberry Pi 4 Model B product page","reference","product_page","https://www.raspberrypi.com/products/raspberry-pi-4-model-b/","","html","Raspberry Pi Ltd","en","UNDETERMINED","https://www.raspberrypi.com/terms-and-conditions/","blocked","reference_only","reference_only","true","2","Raspberry Pi 4 Model B","desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","","product_reference","URL·이미지 표시용 reference_only다."
"rpi-product-pi-500","Raspberry Pi 500 product page","reference","product_page","https://www.raspberrypi.com/products/raspberry-pi-500/","","html","Raspberry Pi Ltd","en","UNDETERMINED","https://www.raspberrypi.com/terms-and-conditions/","blocked","reference_only","reference_only","true","2","Raspberry Pi 500","education_coding;desktop_computing","","product_reference","URL·이미지 표시용 reference_only다."
"rpi-product-pi-400","Raspberry Pi 400 product page","reference","product_page","https://www.raspberrypi.com/products/raspberry-pi-400/","","html","Raspberry Pi Ltd","en","UNDETERMINED","https://www.raspberrypi.com/terms-and-conditions/","blocked","reference_only","reference_only","true","2","Raspberry Pi 400","education_coding;desktop_computing","","product_reference","URL·이미지 표시용 reference_only다."
"rpi-product-zero-2-w","Raspberry Pi Zero 2 W product page","reference","product_page","https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/","","html","Raspberry Pi Ltd","en","UNDETERMINED","https://www.raspberrypi.com/terms-and-conditions/","blocked","reference_only","reference_only","true","2","Raspberry Pi Zero 2 W","camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","","product_reference","URL·이미지 표시용 reference_only다."
"rpi-governance-licensing","Raspberry Pi licensing","governance","documentation","https://www.raspberrypi.com/licensing/","","html","Raspberry Pi Ltd","en","N/A","https://www.raspberrypi.com/licensing/","approved","reference_only","reference_only","true","0","","","","licensing","라이선스 판단 근거다."
"rpi-governance-site-terms","Raspberry Pi terms and conditions","governance","documentation","https://www.raspberrypi.com/terms-and-conditions/","","html","Raspberry Pi Ltd","en","N/A","https://www.raspberrypi.com/terms-and-conditions/","approved","reference_only","reference_only","true","0","","","","terms_of_use","이용약관 판단 근거다."
